contrast-135,energy-135,homogenity-135,correlation-135,dissimilarity-135,ASM-135,target
763683389,0.05925478,0.40444537,0.9588083,201117057,0.00351113,2
748656633,0.06356336,0.4036507,0.9513716,199555184,0.0040403,2
796003344,0.06004386,0.3988354,0.95337487,205075808,0.00360527,2
828993311,0.05722679,0.39384806,0.95850163,209176143,0.00327491,2
687430323,0.06410449,0.4204844,0.96002583,189570792,0.00410939,2
762620959,0.06355094,0.40015975,0.94692967,201849498,0.00403872,2
792157191,0.06257889,0.40526273,0.94980823,202362319,0.00391612,2
768489409,0.06279895,0.40115572,0.95133439,202241918,0.00394371,2
765063545,0.06137598,0.40595442,0.95345347,200483835,0.00376701,2
696421405,0.06253127,0.41578376,0.95816272,191670011,0.00391016,2
848710145,0.06087134,0.39425644,0.95011196,209392419,0.00370532,1
740667781,0.07038353,0.41426623,0.93986457,195053512,0.00495384,1
648604236,0.07123551,0.43302493,0.94860351,181975474,0.0050745,1
831360089,0.06095722,0.39595519,0.95084605,208316611,0.00371578,1
882443701,0.05966193,0.39158708,0.95067283,21374359,0.00355955,1
737853958,0.06746861,0.41123743,0.94601032,19661427,0.00455201,1
693433668,0.0681328,0.42108774,0.95072283,189154961,0.00464208,1
652560758,0.07102117,0.42428256,0.94683559,18519175,0.00504401,1
75148495,0.06551978,0.40979292,0.94784396,197694537,0.00429284,1
766146042,0.06623695,0.4078344,0.94525834,199523969,0.00438733,1
586091416,0.0668833,0.45086673,0.96311105,172733556,0.00447338,3
553590858,0.06725974,0.45718758,0.96668892,168369008,0.00452387,3
568830546,0.06688525,0.45580701,0.96595108,170128205,0.00447364,3
405995541,0.07792213,0.50627049,0.97394237,14154961,0.00607186,3
954195095,0.05902701,0.4043442,0.95852679,211956522,0.00348419,3
521318841,0.07073261,0.45296084,0.96102548,166123746,0.0050031,3
524790412,0.06853675,0.46253813,0.96689039,164023411,0.00469729,3
529896321,0.0664412,0.45587711,0.96868405,166023411,0.00441443,3
475884058,0.07389055,0.47848411,0.96700863,155114827,0.00545981,3